TICID,planet_name,period,T0,Tdur,depth,SNR
259168516,1,2.403,1684.869,0.045,0.002,588.16
259168516,2,26.942,1695.797,0.166,0.002,919.353
259168516,3,29.628,1707.017,0.1,0.002,1983.499
259168516,4,39.388,2587.067,0.163,0.005,2351.524
259168516,5,4.803,2585.355,0.049,0.003,1008.703
259168516,6,47.058,2585.354,0.108,0.003,1335.933
259168516,7,33.993,2615.63,0.077,0.002,1438.938
259168516,8,37.485,2584.07,0.072,0.002,1226.245
259168516,9,16.276,2595.54,0.041,0.001,489.358
259168516,10,4.097,2583.39,0.008,0.001,812.359
259168516,11,40.869,1695.795,0.133,0.003,1587.84
